ID;Unidade Curricular;Semana do 1º Semestre;Semana do 2º Semestre;Curso;Semana do Ano;Turno;Turma;Inscritos no turno;Dia da semana;Hora início da aula;Hora fim da aula;Data da aula;Características da sala pedida para a aula;Sala atribuída à aula
1;Teoria dos Jogos e dos Contratos;-;-;ME;21;01789TP01;MEA1;30;Ter;02:51:00;02:51:00;22/05/2024;Apoio técnico eventos;Auditório Afonso de Barros
2;Teoria dos Jogos e dos Contratos;-;-;ME;21;01789TP01;MEA1;30;Qua;21:40:00;01:36:00;22/05/2024;Arq 1;Auditório Silva Leal
3;Teoria dos Jogos e dos Contratos;11;-;ME;47;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;16/11/2022;Sala Aulas Mestrado;AA2.25
4;Teoria dos Jogos e dos Contratos;10;-;ME;46;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;09/11/2022;Sala Aulas Mestrado;AA2.25
5;Teoria dos Jogos e dos Contratos;9;-;ME;45;01789TP01;MEA1;30;Qua;13:00:00;14:30:00;02/11/2022;Sala Aulas Mestrado;AA2.25
6;Teoria dos Jogos e dos Contratos;13;-;ME;49;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;28/11/2022;Sala Aulas Mestrado;AA2.25
7;Teoria dos Jogos e dos Contratos;12;-;ME;48;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;21/11/2022;Sala Aulas Mestrado;AA2.25
8;Teoria dos Jogos e dos Contratos;11;-;ME;47;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;14/11/2022;Sala Aulas Mestrado;AA2.25
9;Teoria dos Jogos e dos Contratos;10;-;ME;46;01789TP01;MEA1;30;Seg;13:00:00;14:30:00;07/11/2022;Sala Aulas Mestrado;AA2.25
10;Teoria dos Jogos e dos Contratos;13;-;ME;49;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;29/11/2022;Sala Aulas Mestrado;AA2.25
11;Teoria dos Jogos e dos Contratos;12;-;ME;48;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;22/11/2022;Sala Aulas Mestrado;AA2.25
12;Teoria dos Jogos e dos Contratos;11;-;ME;47;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;15/11/2022;Sala Aulas Mestrado;AA2.25
13;Teoria dos Jogos e dos Contratos;10;-;ME;46;01789TP01;MEA1;30;Ter;13:00:00;14:30:00;08/11/2022;Sala Aulas Mestrado;AA2.25
14;Teoria dos Jogos e dos Contratos;10;-;ME;45;01789TP01;MEA1;30;Sex;10:30:00;12:00:00;04/11/2022;Sala Aulas Mestrado;AA2.26
15;Teoria dos Jogos e dos Contratos;10;-;ME;45;01789TP01;MEA1;30;Sex;12:00:00;13:30:00;04/11/2022;Sala Aulas Mestrado;AA2.26
16;Teoria dos Jogos e dos Contratos;14;-;ME;49;01789TP01;MEA1;30;Sex;14:30:00;16:00:00;02/12/2022;Sala Aulas Mestrado;AA2.25
17;Teoria dos Jogos e dos Contratos;13;-;ME;49;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;28/11/2022;Sala Aulas Mestrado;AA2.25
18;Teoria dos Jogos e dos Contratos;12;-;ME;48;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;21/11/2022;Sala Aulas Mestrado;AA2.25
19;Teoria dos Jogos e dos Contratos;11;-;ME;47;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;14/11/2022;Sala Aulas Mestrado;AA2.25
20;Teoria dos Jogos e dos Contratos;10;-;ME;46;01789TP01;MEA1;30;Seg;14:30:00;16:00:00;07/11/2022;Sala Aulas Mestrado;AA2.25
21;Seminário de Projecto I (Piudhist);15;-;PIUDHIST;51;SP-I_(Piudhist)S01;DHMCMG1;0;Seg;18:00:00;20:00:00;12/12/2022;Sala Aulas Mestrado;AA3.24
22;Seminário de Projecto I (Piudhist);14;-;PIUDHIST;50;SP-I_(Piudhist)S01;DHMCMG1;0;Seg;18:00:00;20:00:00;05/12/2022;Sala Aulas Mestrado;AA3.24
